#Digilent WaveForms Oscilloscope Acquisition
#Device Name: GraceUlmer
#Serial Number: SN:210321AA27CB
#Date Time: 2024-10-09 13:12:09.196
#Sample rate: 435.745Hz
#Samples: 8000
#Channel 1: Range: 200 mV/div Offset: -1.5 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-9.17968,1.450212545106531
-9.17738508,1.4465060334388486
-9.17509016,1.4492016782880723
-9.172795240000001,1.463016858140343
-9.17050032,1.485255928146438
-9.1682054,1.497386329967944
-9.16591048,1.517266710730968
-9.16361556,1.5320927574016978
-9.16132064,1.484582016934132
-9.15902572,1.504462397697156
-9.1567308,1.6567663316782892
-9.15443588,1.6018425678753585
-9.15214096,1.6220599042445354
-9.14984604,1.646320707887548
-9.14755112,1.624081637881453
-9.1452562,1.5664622292292987
-9.14296128,1.511538465426368
-9.14066636,1.458636435260355
-9.13837144,1.4380821432850248
-9.13607652,1.4262886970696718
-9.1337816,1.4215713185835304
-9.13148668,1.4077561387312594
-9.12919176,1.409440916762024
-9.12689684,1.3979844261528238
-9.12460192,1.3892235803928472
-9.122307,1.3875388023620825
-9.12001208,1.4020278934266592
-9.11771716,1.417864806915848
-9.115422240000001,1.4168539400973892
-9.11312732,1.432016942374272
-9.1108324,1.4603212132911196
-9.10853748,1.476832037992614
-9.10624256,1.4879515729956614
-9.10394764,1.497723285574097
-9.10165272,1.5125493322448267
-9.0993578,1.4936798183002615
-9.09706288,1.4761581267803083
-9.09476796,1.477842904811073
-9.09247304,1.4781798604172258
-9.090178120000001,1.4609951245034254
-9.0878832,1.4431364773773192
-9.08558828,1.437408232072719
-9.08329336,1.437408232072719
-9.08099844,1.4427995217711662
-9.07870352,1.4933428626941088
-9.0764086,1.530744934977086
-9.07411368,1.5196253999740388
-9.07181876,1.5479296708908865
-9.06952384,1.5755600305954283
-9.06722892,1.5614078951370045
-9.064934000000001,1.5539948718016396
-9.06263908,1.5411905587678274
-9.06034416,1.525690600884792
-9.05804924,1.511875421032521
-9.05575432,1.5004189304233206
-9.0534594,1.4963754631494852
-9.05116448,1.497386329967944
-9.04886956,1.485255928146438
-9.04657464,1.4872776617833556
-9.04427972,1.4882885286018144
-9.0419848,1.4808755052664495
-9.039689880000001,1.471103792688014
-9.03739496,1.4724516151126257
-9.03510004,1.4832341945095202
-9.03280512,1.4926689514818028
-9.0305102,1.5125493322448267
-9.02821528,1.5189514887617328
-9.02592036,1.5071580425463795
-9.02362544,1.5071580425463795
-9.02133052,1.5155819327002034
-9.0190356,1.517603666337121
-9.01674068,1.5189514887617328
-9.014445760000001,1.5081689093648385
-9.01215084,1.4957015519371792
-9.00985592,1.491321129057191
-9.007561,1.4940167739064145
-9.00526608,1.5061471757279208
-9.00297116,1.5007558860294736
-9.00067624,1.497386329967944
-8.99838132,1.489636351026426
-8.9960864,1.4950276407248735
-8.99379148,1.497723285574097
-8.99149656,1.4967124187556382
-8.989201640000001,1.4882885286018144
-8.98690672,1.4832341945095202
-8.9846118,1.497386329967944
-8.98231688,1.5014297972417794
-8.98002196,1.4919950402694968
-8.97772704,1.4866037505710497
-8.97543212,1.490984173451038
-8.9731372,1.491321129057191
-8.97084228,1.489636351026426
-8.96854736,1.4892993954202733
-8.96625244,1.4795276828418378
-8.963957520000001,1.476832037992614
-8.9616626,1.4781798604172258
-8.95936768,1.4727885707187787
-8.95707276,1.470766837081861
-8.95477784,1.4663864142018728
-8.95248292,1.4694190146572492
-8.950188,1.4785168160233788
-8.94789308,1.4330278091927307
-8.94559816,1.141898165476582
-8.94330324,1.2258001114086667
-8.94100832,1.2958868774884802
-8.9387134,1.2470283145963026
-8.93641848,1.1998545297348895
-8.93412356,1.2264740226209725
-8.93182864,1.3016151227930803
-8.92953372,1.3989952929712828
-8.9272388,1.4599842576849666
-8.92494388,1.504125442091003
-8.92264896,1.525016689672486
-8.92035404,1.5536579161954867
-8.91805912,1.570168740896981
-8.9157642,1.5738752525646635
-8.91346928,1.583983920749252
-8.91117436,1.598136056207676
-8.90887944,1.598136056207676
-8.906584520000001,1.59173389969077
-8.9042896,1.5745491637769695
-8.90199468,1.5863426099923228
-8.89969976,1.591396944084617
-8.89740484,1.5802774090815697
-8.89510992,1.5607339839246985
-8.892815,1.551973138164722
-8.89052008,1.5462448928601218
-8.88822516,1.5543318274077926
-8.88593024,1.551299226952416
-8.88363532,1.551299226952416
-8.881340400000001,1.5553426942262514
-8.87904548,1.5489405377093453
-8.87675056,1.543886203617051
-8.87445564,1.5459079372539688
-8.87216072,1.5802774090815697
-8.8698658,1.5964512781769113
-8.86757088,1.5822991427184874
-8.86527596,1.604538212724582
-8.86298104,1.6146468809091705
-8.86068612,1.59746214499537
-8.8583912,1.5748861193831225
-8.856096280000001,1.5422014255862864
-8.85380136,1.5361362246755332
-8.85150644,1.516592799518662
-8.84921152,1.504462397697156
-8.8469166,1.504799353303309
-8.84462168,1.497386329967944
-8.84232676,1.4788537716295318
-8.84003184,1.477168993598767
-8.83773692,1.4812124608726025
-8.835442,1.472114659506473
-8.83314708,1.4690820590510962
-8.830852160000001,1.4822233276910612
