#Digilent WaveForms Oscilloscope Acquisition
#Device Name: GraceUlmer
#Serial Number: SN:210321AA27CB
#Date Time: 2024-10-09 13:11:31.959
#Sample rate: 435.745Hz
#Samples: 8000
#Channel 1: Range: 200 mV/div Offset: -1.5 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-9.17968,1.418538718128154
-9.17738508,1.423256096614295
-9.17509016,1.4272995638881305
-9.172795240000001,1.4205604517650716
-9.17050032,1.4087670055497183
-9.1682054,1.4117996060050948
-9.16591048,1.3811366458451764
-9.16361556,1.3801257790267176
-9.16132064,1.4155061176727772
-9.15902572,1.431679986768119
-9.1567308,1.4353864984358014
-9.15443588,1.4660494585957198
-9.15214096,1.4994080636048617
-9.14984604,1.4997450192110147
-9.14755112,1.5024406640602384
-9.1452562,1.4926689514818028
-9.14296128,1.490310262238732
-9.14066636,1.4943537295125675
-9.13837144,1.4832341945095202
-9.13607652,1.4704298814757082
-9.1337816,1.4960385075433322
-9.13148668,1.5213101780048035
-9.12919176,1.525690600884792
-9.12689684,1.52434277846018
-9.12460192,1.52434277846018
-9.122307,1.5138971546694386
-9.12001208,1.53007102376478
-9.11771716,1.538494913918604
-9.115422240000001,1.537821002706298
-9.11312732,1.5354623134632273
-9.1108324,1.5395057807370627
-9.10853748,1.538831869524757
-9.10624256,1.5219840892171095
-9.10394764,1.4970493743617912
-9.10165272,1.4892993954202733
-9.0993578,1.4859298393587437
-9.09706288,1.485255928146438
-9.09476796,1.5007558860294736
-9.09247304,1.5088428205771443
-9.090178120000001,1.5226580004294152
-9.0878832,1.5327666686140038
-9.08558828,1.5361362246755332
-9.08329336,1.544560114829357
-9.08099844,1.5475927152847335
-9.07870352,1.5347884022509215
-9.0764086,1.524679734066333
-9.07411368,1.525690600884792
-9.07181876,1.5192884443678858
-9.06952384,1.510864554214062
-9.06722892,1.5021037084540854
-9.064934000000001,1.5000819748171677
-9.06263908,1.4919950402694968
-9.06034416,1.4805385496602965
-9.05804924,1.485255928146438
-9.05575432,1.4876146173895086
-9.0534594,1.4791907272356848
-9.05116448,1.4832341945095202
-9.04886956,1.4835711501156732
-9.04657464,1.4808755052664495
-9.04427972,1.485592883752591
-9.0419848,1.484582016934132
-9.039689880000001,1.5014297972417794
-9.03739496,1.5021037084540854
-9.03510004,1.4997450192110147
-9.03280512,1.503451530878697
-9.0305102,1.510864554214062
-9.02821528,1.511875421032521
-9.02592036,1.4943537295125675
-9.02362544,1.4886254842079674
-9.02133052,1.4835711501156732
-9.0190356,1.4815494164787555
-9.01674068,1.4802015940541435
-9.014445760000001,1.4751472599618494
-9.01215084,1.4737994375372376
-9.00985592,1.4697559702634022
-9.007561,1.4620059913218844
-9.00526608,1.443810388589625
-9.00297116,1.4225821854019893
-9.00067624,1.4340386760111896
-8.99838132,1.4401038769219425
-8.9960864,1.4353864984358014
-8.99379148,1.4337017204050366
-8.99149656,1.437408232072719
-8.989201640000001,1.4380821432850248
-8.98690672,1.4401038769219425
-8.9846118,1.444821255408084
-8.98231688,1.4515603675311428
-8.98002196,1.4609951245034254
-8.97772704,1.4616690357157314
-8.97543212,1.4818863720849085
-8.9731372,1.4994080636048617
-8.97084228,1.490647217844885
-8.96854736,1.504125442091003
-8.96625244,1.5324297130078508
-8.963957520000001,1.551973138164722
-8.9616626,1.5422014255862864
-8.95936768,1.5475927152847335
-8.95707276,1.538831869524757
-8.95477784,1.5233319116417212
-8.95248292,1.5233319116417212
-8.950188,1.511538465426368
-8.94789308,1.4963754631494852
-8.94559816,1.4994080636048617
-8.94330324,1.5058102201217678
-8.94100832,1.5138971546694386
-8.9387134,1.5145710658817444
-8.93641848,1.5216471336109565
-8.93412356,1.5293971125524743
-8.93182864,1.5324297130078508
-8.92953372,1.5351253578570745
-8.9272388,1.5209732223986505
-8.92494388,1.5101906430017562
-8.92264896,1.4886254842079674
-8.92035404,1.4822233276910612
-8.91805912,1.476832037992614
-8.9157642,1.4802015940541435
-8.91346928,1.4761581267803083
-8.91117436,1.463690769352649
-8.90887944,1.4623429469280373
-8.906584520000001,1.517603666337121
-8.9042896,1.5280492901278624
-8.90199468,1.5415275143739804
-8.89969976,1.5684839628662164
-8.89740484,1.5688209184723694
-8.89510992,1.5395057807370627
-8.892815,1.5088428205771443
-8.89052008,1.4869407061772026
-8.88822516,1.4596473020788137
-8.88593024,1.4427995217711662
-8.88363532,1.444147344195778
-8.881340400000001,1.4323538979804247
-8.87904548,1.4424625661650132
-8.87675056,1.4539190567742135
-8.87445564,1.4596473020788137
-8.87216072,1.463353813746496
-8.8698658,1.4690820590510962
-8.86757088,1.4569516572295902
-8.86527596,1.4414516993465545
-8.86298104,1.4330278091927307
-8.86068612,1.4276365194942835
-8.8583912,1.4299952087373542
-8.856096280000001,1.4205604517650716
-8.85380136,1.4144952508543185
-8.85150644,1.4279734751004365
-8.84921152,1.4384190988911778
-8.8469166,1.444147344195778
-8.84462168,1.4522342787434488
-8.84232676,1.4623429469280373
-8.84003184,1.4748103043556964
-8.83773692,1.4724516151126257
-8.835442,1.5017667528479324
-8.83314708,1.5125493322448267
-8.830852160000001,1.4940167739064145
-8.82855724,1.4828972389033672
-8.82626232,1.483908105721826
-8.8239674,1.4670603254141785
-8.82167248,1.458636435260355
-8.81937756,1.4724516151126257
-8.81708264,1.485592883752591
-8.81478772,1.4953645963310263
-8.8124928,1.5061471757279208
-8.81019788,1.5105275986079092
-8.80790296,1.4960385075433322
-8.805608040000001,1.4879515729956614
-8.80331312,1.512212376638674
-8.8010182,1.5337775354324625
-8.79872328,1.5361362246755332
-8.79642836,1.5337775354324625
-8.79413344,1.5395057807370627
-8.79183852,1.5543318274077926
-8.7895436,1.5610709395308515
-8.78724868,1.544560114829357
-8.78495376,1.5283862457340154
-8.78265884,1.5088428205771443
-8.780363920000001,1.5061471757279208
-8.778069,1.4892993954202733
-8.77577408,1.4879515729956614
-8.77347916,1.5024406640602384
-8.77118424,1.5152449770940504
-8.76888932,1.517266710730968
-8.7665944,1.5283862457340154
-8.76429948,1.5428753367985923
-8.76200456,1.5455709816478158
-8.75970964,1.5368101358878392
-8.75741472,1.5327666686140038
-8.755119800000001,1.5219840892171095
-8.75282488,1.5138971546694386
-8.75052996,1.4926689514818028
-8.74823504,1.4670603254141785
-8.74594012,1.449875589500378
-8.7436452,1.4468429890450016
-8.74135028,1.4434734329834722
-8.73905536,1.4417886549527075
-8.73676044,1.4596473020788137
-8.73446552,1.4805385496602965
-8.7321706,1.498734152392556
-8.72987568,1.5074949981525325
-8.72758076,1.525690600884792
-8.72528584,1.5196253999740388
-8.72299092,1.5061471757279208
-8.720696,1.511538465426368
-8.71840108,1.511875421032521
-8.71610616,1.5078319537586855
-8.71381124,1.5071580425463795
-8.71151632,1.5074949981525325
-8.7092214,1.498734152392556
-8.70692648,1.4731255263249317
-8.70463156,1.4606581688972726
-8.70233664,1.4700929258695552
-8.70004172,1.491321129057191
-8.697746800000001,1.4663864142018728
-8.69545188,1.4815494164787555
-8.69315696,1.49806024118025
-8.69086204,1.4946906851187205
-8.68856712,1.484245061327979
-8.6862722,1.4805385496602965
-8.68397728,1.471103792688014
-8.68168236,1.4704298814757082
-8.67938744,1.4556038348049782
-8.67709252,1.437745187678872
-8.6747976,1.4155061176727772
-8.672502680000001,1.4070822275189536
-8.67020776,1.4138213396420125
-8.66791284,1.411125694792789
-8.66561792,1.431006075555813
-8.663323,1.457962524048049
-8.66102808,1.484918972540285
-8.65873316,1.498734152392556
-8.65643824,1.498734152392556
-8.65414332,1.5004189304233206
-8.6518484,1.5024406640602384
-8.64955348,1.5071580425463795
-8.647258560000001,1.5125493322448267
-8.64496364,1.5024406640602384
-8.64266872,1.4997450192110147
-8.6403738,1.5000819748171677
-8.63807888,1.4967124187556382
-8.63578396,1.4963754631494852
-8.63348904,1.4892993954202733
-8.63119412,1.4758211711741553
-8.6288992,1.4697559702634022
-8.62660428,1.4687451034449432
-8.62430936,1.4704298814757082
-8.622014440000001,1.4754842155680024
-8.61971952,1.4835711501156732
-8.6174246,1.5061471757279208
-8.61512968,1.543886203617051
-8.61283476,1.544560114829357
-8.61053984,1.5371470914939922
-8.60824492,1.5398427363432157
-8.60595,1.5331036242201568
-8.60365508,1.511201509820215
-8.60136016,1.4748103043556964
-8.59906524,1.4492016782880723
-8.596770320000001,1.4340386760111896
-8.5944754,1.4296582531312012
-8.59218048,1.417864806915848
-8.58988556,1.4114626503989418
-8.58759064,1.4087670055497183
-8.58529572,1.396299648122059
-8.5830008,1.3936040032728356
-8.58070588,1.4067452719128006
