#Digilent WaveForms Oscilloscope Acquisition
#Device Name: GraceUlmer
#Serial Number: SN:210321AA27CB
#Date Time: 2024-10-09 13:10:55.301
#Sample rate: 435.745Hz
#Samples: 8000
#Channel 1: Range: 200 mV/div Offset: -1.5 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-9.17968,1.149311188811947
-9.17738508,1.1344851421412172
-9.17509016,1.1119091165289696
-9.172795240000001,1.0947243806151692
-9.17050032,1.0953982918274752
-9.1682054,1.1129199833474286
-9.16591048,1.1520068336611706
-9.16361556,1.1745828592734182
-9.16132064,1.176267637304183
-9.15902572,1.1880610835195362
-9.1567308,1.2140066651933135
-9.15443588,1.2119849315563958
-9.15214096,1.1991806185225835
-9.14984604,1.2001914853410425
-9.14755112,1.1887349947318422
-9.1452562,1.1644741910888299
-9.14296128,1.1648111466949826
-9.14066636,1.1749198148795712
-9.13837144,1.1793002377595596
-9.13607652,1.176941548516489
-9.1337816,1.1705393919995828
-9.13148668,1.1843545718518538
-9.12919176,1.1937893288241364
-9.12689684,1.1941262844302893
-9.12460192,1.1846915274580068
-9.122307,1.1749198148795712
-9.12001208,1.1712133032118888
-9.11771716,1.1722241700303475
-9.115422240000001,1.1681807027565123
-9.11312732,1.1597568126026885
-9.1108324,1.1456046771442647
-9.10853748,1.1334742753227585
-9.10624256,1.1459416327504175
-9.10394764,1.1341481865350644
-9.10165272,1.1132569389535814
-9.0993578,1.1183112730458757
-9.09706288,1.1193221398643345
-9.09476796,1.1078656492551342
-9.09247304,1.1257242963812406
-9.090178120000001,1.1412242542642763
-9.0878832,1.1435829435073468
-9.08558828,1.1449307659319587
-9.08329336,1.1452677215381115
-9.08099844,1.1452677215381115
-9.07870352,1.156050300935006
-9.0764086,1.1533546560857824
-9.07411368,1.1388655650212056
-9.07181876,1.142572076688888
-9.06952384,1.1486372775996412
-9.06722892,1.1533546560857824
-9.064934000000001,1.1442568547196528
-9.06263908,1.1452677215381115
-9.06034416,1.1577350789657708
-9.05804924,1.163463324270371
-9.05575432,1.1681807027565123
-9.0534594,1.1816589270026303
-9.05116448,1.1995175741287365
-9.04886956,1.204234952614878
-9.04657464,1.2214196885286783
-9.04427972,1.2456804921716906
-9.0419848,1.2669086953593265
