Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461980.1887589,9987.765625,40016.0625,29995.72265625,10188.53125,39887.109375,29968.546875,10002.578125,39991.375,29993.33203125,10001.640625,40001.828125,30000.50390625
1733461980.2251663,10015.1875,39982.65625,30002.9296875,10120.84375,39987.859375,29964.80859375,10015.1640625,39999.234375,29994.3046875,10009.5625,39994.21875,29991.52734375
1733461980.2587078,10012.5859375,40002.84375,29997.94921875,9924.6484375,40083.296875,29981.02734375,9990.6015625,40004.78125,30001.734375,9993.90625,40002.203125,30000.87890625
1733461980.2808013,9953.8515625,40010.625,30004.79296875,9982.328125,,,,,,,,
1733461980.2923124,,,,,39919.828125,30033.3984375,9992.1015625,39992.5625,30004.1953125,9990.7421875,39991.25,30002.390625
1733461980.315957,10037.59375,39977.4375,30001.21875,10035.203125,40048.140625,30046.27734375,10011.390625,39992.515625,30003.75,10013.1953125,40000.8125,30002.54296875
1733461980.3494902,9980.4765625,40027.484375,29990.82421875,9866.921875,39993.40625,29998.4765625,9985.4453125,40010.671875,29995.0078125,9990.15625,40009.46875,29998.27734375
1733461980.389804,10017.625,39971.421875,30005.625,9970.1640625,40047.671875,29984.14453125,10002.34375,39998.078125,30001.2421875,9994.0,40002.296875,29993.25
1733461980.4018497,10026.53125,40012.9375,29996.1328125,10324.7265625,,,,,,,,
1733461980.412919,,,,,39845.765625,29959.1015625,10016.125,39993.546875,29987.49609375,10021.28125,39984.578125,29995.37109375
1733461980.436654,9956.359375,40003.515625,30002.21484375,9668.21875,40231.015625,29958.09375,9980.546875,40003.5,30001.78125,9971.546875,40013.25,30002.54296875
1733461980.4714954,9960.859375,39989.359375,30006.3984375,10034.8984375,39836.6875,30002.94140625,9985.890625,40008.203125,30000.5390625,9995.734375,39988.140625,30001.20703125
1733461980.498513,10010.4296875,40004.109375,29990.1328125,10081.28125,40076.03125,30040.18359375,10008.109375,39985.734375,30003.9140625,10002.5078125,40003.828125,29999.203125
1733461980.531037,10032.4140625,39988.953125,30004.27734375,10132.0,39888.203125,30071.44921875,10011.5546875,39997.765625,30005.54296875,10012.890625,39986.671875,30002.40234375
